SerialNumber,IsPresent,Title,Authors,Edition,Volume,Year,Publisher,ISBN,Notes,RIS,NLMClassification,LCCClassification,MeSHTerms,EbookURL,,,,,,,,,,,
372,TRUE,Review of Orthopaedics,"Miller, Mark D.; Thompson, Stephen R.; Hart, Jennifer A.",6th,,2012,Elsevier Saunders,,,"TY  - BOOK|||T1  - Review of Orthopaedics|||AU  - Miller, Mark D.|||AU  - Thompson, Stephen R.|||AU  - Hart, Jennifer A.|||ED  - 6th|||PY  - 2012|||PB  - Elsevier Saunders|||ER  - ",WE 18.2,RD732,Orthopedics; Examination Questions,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20100666225,,,,,,,,,,,
373,TRUE,Dermatologic and Cosmetic Procedures in Office Practice,"Usatine, Richard P.; Pfenninger, John L.; Stulberg, Daniel L.; Small, Rebecca",,,2012,Elsevier Saunders,,,"TY  - BOOK|||T1  - Dermatologic and Cosmetic Procedures in Office Practice|||AU  - Usatine, Richard P.|||AU  - Pfenninger, John L.|||AU  - Stulberg, Daniel L.|||AU  - Small, Rebecca|||PY  - 2012|||PB  - Elsevier Saunders|||ER  - ",WR 650,RD520,Dermatologic Surgical Procedures; Ambulatory Surgical Procedures; Cosmetic Techniques,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C2009064367X,,,,,,,,,,,
374,TRUE,Cardiopulmonary Physical Therapy,"Hillegrass, Ellen",3rd?,?,,Elsevier,3ª Ed es ~2011? Verificar.,,"TY  - BOOK|||T1  - Cardiopulmonary Physical Therapy|||AU  - Hillegrass, Ellen|||ED  - 3rd?|||PY  - 2011?|||PB  - Elsevier|||N1  - 3rd Ed is ~2011?. Verify details.|||ER  - ",WF 145,RM701,Physical Therapy Modalities; Cardiopulmonary Resuscitation,,,,,,,,,,,,
375,TRUE,Diagnostic Pathology: Gastrointestinal,"Greenson, Joel K.",2nd,,2015,Amirsys / Elsevier,,,"TY  - BOOK|||T1  - Diagnostic Pathology: Gastrointestinal|||AU  - Greenson, Joel K.|||ED  - 2nd|||PY  - 2015|||PB  - Amirsys / Elsevier|||ER  - ",WI 141,RC804.B5,Gastrointestinal Diseases / pathology,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20120071192,,,,,,,,,,,
376,TRUE,Radiology of Skeletal Trauma,"Rogers, Lee F.",3rd,2,2001,Churchill Livingstone,,Volumen 2.,"TY  - BOOK|||T1  - Radiology of Skeletal Trauma|||AU  - Rogers, Lee F.|||ED  - 3rd|||VL  - 2|||PY  - 2001|||PB  - Churchill Livingstone|||N1  - Volume 2.|||ER  - ",WE 175,RD101,Fractures / diagnostic imaging; Musculoskeletal System / injuries,,,,,,,,,,,,
377,TRUE,CT and MR Imaging of the Whole Body,"Haaga, John R.; Lanzieri, Charles F.; Gilkeson, Robert C.",4th,2,2003,Mosby,,"Volumen 2 (Cap 34-62, Págs 1153-2272).","TY  - BOOK|||T1  - CT and MR Imaging of the Whole Body|||AU  - Haaga, John R.|||AU  - Lanzieri, Charles F.|||AU  - Gilkeson, Robert C.|||ED  - 4th|||VL  - 2|||PY  - 2003|||PB  - Mosby|||N1  - Volume 2 (Chapters 34-62, Pages 1153-2272).|||ER  - ",WN 180,RC78.7.T6,"Tomography, X-Ray Computed; Magnetic Resonance Imaging",,,,,,,,,,,,
378,TRUE,CT and MR Imaging of the Whole Body,"Haaga, John R.; Lanzieri, Charles F.; Gilkeson, Robert C.",4th,1,2003,Mosby,,"Volumen 1 (Cap 1-33, Págs 1-1152).","TY  - BOOK|||T1  - CT and MR Imaging of the Whole Body|||AU  - Haaga, John R.|||AU  - Lanzieri, Charles F.|||AU  - Gilkeson, Robert C.|||ED  - 4th|||VL  - 1|||PY  - 2003|||PB  - Mosby|||N1  - Volume 1 (Chapters 1-33, Pages 1-1152).|||ER  - ",WN 180,RC78.7.T6,"Tomography, X-Ray Computed; Magnetic Resonance Imaging",,,,,,,,,,,,
379,TRUE,Drain's PeriAnesthesia Nursing: A Critical Care Approach,"Odom-Forren, Jan; Watson, Dinah",6th,,2013,Elsevier Saunders,,,"TY  - BOOK|||T1  - Drain's PeriAnesthesia Nursing: A Critical Care Approach|||AU  - Odom-Forren, Jan|||AU  - Watson, Dinah|||ED  - 6th|||PY  - 2013|||PB  - Elsevier Saunders|||ER  - ",WY 154.5,RD99.5,Postanesthesia Nursing; Critical Care Nursing,https://evolve.elsevier.com/cs/product/9781455705030?role=student,,,,,,,,,,,
380,TRUE,Brain's Medical Insurance: Understanding the Claims Cycle,"Warren, Michelle A.",,,2009?,Saunders?,,Año estimado. Verificar.,"TY  - BOOK|||T1  - Brain's Medical Insurance: Understanding the Claims Cycle|||AU  - Warren, Michelle A.|||PY  - 2009?|||PB  - Saunders?|||N1  - Year estimated. Verify details.|||ER  - ",W 275 AA1,HG9385,"Insurance, Health",,,,,,,,,,,,
381,TRUE,Introduction to Maternity and Pediatric Nursing,"Leifer, Gloria",7th,,2015,Elsevier Saunders,,,"TY  - BOOK|||T1  - Introduction to Maternity and Pediatric Nursing|||AU  - Leifer, Gloria|||ED  - 7th|||PY  - 2015|||PB  - Elsevier Saunders|||ER  - ",WY 157,RG951,Obstetrical Nursing; Pediatric Nursing,https://evolve.elsevier.com/cs/product/9780323227135?role=student,,,,,,,,,,,
382,TRUE,Mosby's Textbook for the Home Care Aide,Mosby,3rd?,?,,Elsevier,3ª Ed es ~2011. Verificar.,,TY  - BOOK|||T1  - Mosby's Textbook for the Home Care Aide|||AU  - Mosby|||ED  - 3rd?|||PY  - 2011?|||PB  - Elsevier|||N1  - 3rd Ed is ~2011. Verify details.|||ER  -,WY 193,RT120.H65,Home Health Aides,,,,,,,,,,,,
383,TRUE,Introduction to Maternity and Pediatric Nursing,"Leifer, Gloria",7th,,2015,Elsevier Saunders,,Repetido de 381.,"TY  - BOOK|||T1  - Introduction to Maternity and Pediatric Nursing|||AU  - Leifer, Gloria|||ED  - 7th|||PY  - 2015|||PB  - Elsevier Saunders|||N1  - Duplicate of 381.|||ER  - ",WY 157,RG951,Obstetrical Nursing; Pediatric Nursing,https://evolve.elsevier.com/cs/product/9780323227135?role=student,,,,,,,,,,,
384,TRUE,Maternal Child Nursing Care in Canada,"Perry, Shannon E.; Hockenberry, Marilyn J.; Lowdermilk, Deitra Leonard; Wilson, David; Sams, Cheryl A.; Keenan-Lindsay, Lisa",1st Canadian Ed.,,2012,Elsevier Canada,,,"TY  - BOOK|||T1  - Maternal Child Nursing Care in Canada|||AU  - Perry, Shannon E.|||AU  - Hockenberry, Marilyn J.|||AU  - Lowdermilk, Deitra Leonard|||AU  - Wilson, David|||AU  - Sams, Cheryl A.|||AU  - Keenan-Lindsay, Lisa|||ED  - 1st Canadian Ed.|||PY  - 2012|||PB  - Elsevier Canada|||ER  - ",WY 157.3,RJ245,Maternal-Child Nursing; Canada,,,,,,,,,,,,
385,TRUE,Mosby's Textbook for Nursing Assistants,"Sorrentino, Sheila A.",7th?,?,,Mosby Elsevier,7ª Ed es ~2008. Verificar.,,"TY  - BOOK|||T1  - Mosby's Textbook for Nursing Assistants|||AU  - Sorrentino, Sheila A.|||ED  - 7th?|||PY  - 2008?|||PB  - Mosby Elsevier|||N1  - 7th Ed is ~2008. Verify details.|||ER  - ",WY 193,RT84,Nurses' Aides,,,,,,,,,,,,
386,TRUE,Cardiac Surgery,"Kirklin, John W.; Barratt-Boyes, Brian G.; Kouchoukos, Nicholas T.; Blackstone, Eugene H.; Hanley, Frank L.; Doty, Donald B.",3rd,2,2003,Churchill Livingstone,,Volumen 2.,"TY  - BOOK|||T1  - Cardiac Surgery|||AU  - Kirklin, John W.|||AU  - Barratt-Boyes, Brian G.|||AU  - Kouchoukos, Nicholas T.|||AU  - Blackstone, Eugene H.|||AU  - Hanley, Frank L.|||AU  - Doty, Donald B.|||ED  - 3rd|||VL  - 2|||PY  - 2003|||PB  - Churchill Livingstone|||N1  - Volume 2.|||ER  - ",WG 169,RD598,Thoracic Surgery; Heart / surgery,,,,,,,,,,,,
387,TRUE,Medical-Surgical Nursing: Assessment and Management of Clinical Problems,"Heitkemper, Margaret M.; Dirksen, Shannon Ruff; O'Brien, Patricia G.; Bucher, Linda",7th?,?,,Mosby Elsevier,7ª Ed es ~2007. Verificar.,,"TY  - BOOK|||T1  - Medical-Surgical Nursing: Assessment and Management of Clinical Problems|||AU  - Heitkemper, Margaret M.|||AU  - Dirksen, Shannon Ruff|||AU  - O'Brien, Patricia G.|||AU  - Bucher, Linda|||ED  - 7th?|||PY  - 2007?|||PB  - Mosby Elsevier|||N1  - 7th Ed is ~2007. Verify details.|||ER  - ",WY 150,RT41,Perioperative Nursing,,,,,,,,,,,,
388,TRUE,Maternal Child Nursing Care,"Perry, Shannon E.; Hockenberry, Marilyn J.; Lowdermilk, Deitra Leonard; Wilson, David",5th?,?,,Mosby Elsevier,5ª Ed es ~2014. Verificar.,,"TY  - BOOK|||T1  - Maternal Child Nursing Care|||AU  - Perry, Shannon E.|||AU  - Hockenberry, Marilyn J.|||AU  - Lowdermilk, Deitra Leonard|||AU  - Wilson, David|||ED  - 5th?|||PY  - 2014?|||PB  - Mosby Elsevier|||N1  - 5th Ed is ~2014. Verify details.|||ER  - ",WY 157.3,RJ245,Maternal-Child Nursing,https://evolve.elsevier.com/cs/product/9780323096109?role=student,,,,,,,,,,,
389,TRUE,Documentation for Rehabilitation: A Guide to Clinical Decision Making,"Quinn, Lori; Gordon, James",2nd,,2003,Saunders,,,"TY  - BOOK|||T1  - Documentation for Rehabilitation: A Guide to Clinical Decision Making|||AU  - Quinn, Lori|||AU  - Gordon, James|||ED  - 2nd|||PY  - 2003|||PB  - Saunders|||ER  - ",WB 39,RM930,Rehabilitation; Documentation; Medical Records,,,,,,,,,,,,
390,TRUE,Essentials for Nursing Practice,"Potter, Patricia A.; Perry, Anne Griffin; Stockert, Patricia A.; Hall, Amy M.",8th,,2015,Elsevier Mosby,,,"TY  - BOOK|||T1  - Essentials for Nursing Practice|||AU  - Potter, Patricia A.|||AU  - Perry, Anne Griffin|||AU  - Stockert, Patricia A.|||AU  - Hall, Amy M.|||ED  - 8th|||PY  - 2015|||PB  - Elsevier Mosby|||ER  - ",WY 100,RT41,Nursing,https://evolve.elsevier.com/cs/product/9780323112215?role=student,,,,,,,,,,,
391,TRUE,ICD-10-PCS: An Applied Approach,"Buck, Carol J.",,,2014,Elsevier,,Draft? Edición 2014.,"TY  - BOOK|||T1  - ICD-10-PCS: An Applied Approach|||AU  - Buck, Carol J.|||PY  - 2014|||PB  - Elsevier|||N1  - 2014 Edition (Draft?).|||ER  - ",WB 15,,International Classification of Diseases; Clinical Coding,,,,,,,,,,,,
392,TRUE,ICD-10-CM: An Applied Approach,"Buck, Carol J.",,,2014,Elsevier,,Draft? Edición 2014.,"TY  - BOOK|||T1  - ICD-10-CM: An Applied Approach|||AU  - Buck, Carol J.|||PY  - 2014|||PB  - Elsevier|||N1  - 2014 Edition (Draft?).|||ER  - ",WB 15,,International Classification of Diseases; Clinical Coding,,,,,,,,,,,,
393,TRUE,Nurse Anesthesia,"Nagelhout, John J.; Plaus, Karen L.",5th,,2014,Elsevier Saunders,,,"TY  - BOOK|||T1  - Nurse Anesthesia|||AU  - Nagelhout, John J.|||AU  - Plaus, Karen L.|||ED  - 5th|||PY  - 2014|||PB  - Elsevier Saunders|||N1  - Year estimated for 5th Ed.|||ER  - ",WO 205,RD82,Nurse Anesthetists; Anesthesia,https://evolve.elsevier.com/cs/product/9781437716801?role=student,,,,,,,,,,,
394,TRUE,Clinical Nursing Skills & Techniques,"Perry, Anne Griffin; Potter, Patricia Ann; Ostendorf, Wendy",8th,,2014,Elsevier Mosby,,Repetido de 355.,"TY  - BOOK|||T1  - Clinical Nursing Skills & Techniques|||AU  - Perry, Anne Griffin|||AU  - Potter, Patricia Ann|||AU  - Ostendorf, Wendy|||ED  - 8th|||PY  - 2014|||PB  - Elsevier Mosby|||N1  - Duplicate of 355.|||ER  - ",WY 150,RT51,Nursing Process; Clinical Competence,https://evolve.elsevier.com/cs/product/9780323083830?role=student,,,,,,,,,,,
397,TRUE,"The Nurse, The Math, The Meds: Drug Calculations Using Dimensional Analysis","Mullholland, Judith; Turner, Susan",3rd?,?,,Elsevier?,3ª Ed es ~2015? Verificar.,,"TY  - BOOK|||T1  - The Nurse, The Math, The Meds: Drug Calculations Using Dimensional Analysis|||AU  - Mullholland, Judith|||AU  - Turner, Susan|||ED  - 3rd?|||PY  - 2015?|||PB  - Elsevier?|||N1  - 3rd Ed is ~2015?. Verify details.|||ER  - ",QV 18,RS57,Drug Dosage Calculations,,,,,,,,,,,,
400,TRUE,Saunders Review of Dental Hygiene,"Fahrenbach, Margaret J.; Weiner, Jane",2nd?,?,,Elsevier Saunders?,2ª Ed es ~2008. Verificar.,,"TY  - BOOK|||T1  - Saunders Review of Dental Hygiene|||AU  - Fahrenbach, Margaret J.|||AU  - Weiner, Jane|||ED  - 2nd?|||PY  - 2008?|||PB  - Elsevier Saunders?|||N1  - 2nd Ed is ~2008. Verify details.|||ER  - ",WU 18.2,RK60.5,Dental Hygienists; Examination Questions,,,,,,,,,,,,
401,TRUE,Public Health Nursing: Population-Centered Health Care in the Community,"Stanhope, Marcia; Lancaster, Jeanette",8th,,2012,Elsevier Mosby,,"Repetido de 244, 321, 368.","TY  - BOOK|||T1  - Public Health Nursing: Population-Centered Health Care in the Community|||AU  - Stanhope, Marcia|||AU  - Lancaster, Jeanette|||ED  - 8th|||PY  - 2012|||PB  - Elsevier Mosby|||N1  - Duplicate of 244, 321, 368.|||ER  - ",WY 106,RT97,Public Health Nursing; Community Health Nursing,https://evolve.elsevier.com/cs/product/9780323067151?role=student,,,,,,,,,,,
402,TRUE,"Mosby's Dental Hygiene: Concepts, Cases, and Competencies","Darby, Michele Leonardi; Walsh, Margaret M.",,,?,Mosby?,,Año/Edición desconocidos. Verificar.,"TY  - BOOK|||T1  - Mosby's Dental Hygiene: Concepts, Cases, and Competencies|||AU  - Darby, Michele Leonardi|||AU  - Walsh, Margaret M.|||PB  - Mosby?|||N1  - Year/Edition unknown. Verify details.|||ER  - ",WU 113,RK60.5,Dental Hygienists; Oral Hygiene,,,,,,,,,,,,
403,TRUE,"Mosby's Dental Hygiene: Concepts, Cases, and Competencies","Darby, Michele Leonardi; Walsh, Margaret M.",7th?,?,,Elsevier?,7ª Ed es ~2010? Verificar.,,"TY  - BOOK|||T1  - Mosby's Dental Hygiene: Concepts, Cases, and Competencies|||AU  - Darby, Michele Leonardi|||AU  - Walsh, Margaret M.|||ED  - 7th?|||PY  - 2010?|||PB  - Elsevier?|||N1  - 7th Ed is ~2010?. Verify details.|||ER  - ",WU 113,RK60.5,Dental Hygienists; Oral Hygiene,,,,,,,,,,,,
404,TRUE,Modern Dental Assisting,"Bird, Doni L.; Robinson, Debbie S.",11th?,?,,Elsevier Saunders?,11ª Ed es ~2015. Verificar.,,"TY  - BOOK|||T1  - Modern Dental Assisting|||AU  - Bird, Doni L.|||AU  - Robinson, Debbie S.|||ED  - 11th?|||PY  - 2015?|||PB  - Elsevier Saunders?|||N1  - 11th Ed is ~2015. Verify details.|||ER  - ",WU 90,RK60.5,Dental Assistants,,,,,,,,,,,,
419,TRUE,Pathophysiology: The Biologic Basis for Disease in Adults and Children,"McCance, Kathryn L.; Huether, Sue E.",6th,,2010,Mosby Elsevier,,Repetido de 419.,"TY  - BOOK|||T1  - Pathophysiology: The Biologic Basis for Disease in Adults and Children|||AU  - McCance, Kathryn L.|||AU  - Huether, Sue E.|||ED  - 6th|||PY  - 2010|||PB  - Mosby Elsevier|||N1  - Duplicate entry? Same as 419.|||ER  - ",QZ 4,RB113,Pathology; Physiopathology,,,,,,,,,,,,
420,TRUE,Trauma Nursing: From Resuscitation Through Rehabilitation,"McQuillan, Kathleen A.; Von Rueden, Kathryn T.; Hartsock, Roberta L.; Flynn, Mary Beth; Whalen, Eileen",4th,,2009,Elsevier Saunders,,Repetido de 365 y 420.,"TY  - BOOK|||T1  - Trauma Nursing: From Resuscitation Through Rehabilitation|||AU  - McQuillan, Kathleen A.|||AU  - Von Rueden, Kathryn T.|||AU  - Hartsock, Roberta L.|||AU  - Flynn, Mary Beth|||AU  - Whalen, Eileen|||ED  - 4th|||PY  - 2009|||PB  - Elsevier Saunders|||N1  - Duplicate of 365 & 420.|||ER  - ",WY 156.5,RT120.E4,Wounds and Injuries / nursing; Emergency Nursing; Rehabilitation Nursing,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C2009001071X,,,,,,,,,,,
421,TRUE,Pathophysiology,"Copstead, Lee-Ellen C.; Banasik, Jacquelyn L.",4th,,2010,Saunders Elsevier,,Repetido de 421.,"TY  - BOOK|||T1  - Pathophysiology|||AU  - Copstead, Lee-Ellen C.|||AU  - Banasik, Jacquelyn L.|||ED  - 4th|||PY  - 2010|||PB  - Saunders Elsevier|||N1  - Duplicate entry? Same as 421.|||ER  - ",QZ 4,RB113,Pathology; Physiopathology,https://evolve.elsevier.com/cs/product/9781416055433?role=student,,,,,,,,,,,
422,TRUE,"The Nurse, The Math, The Meds: Drug Calculations Using Dimensional Analysis","Mulholland, Joyce M.",2nd,,2011,Elsevier Mosby,,Repetido de 422/423.,"TY  - BOOK|||T1  - The Nurse, The Math, The Meds: Drug Calculations Using Dimensional Analysis|||AU  - Mulholland, Joyce M.|||ED  - 2nd|||PY  - 2011|||PB  - Elsevier Mosby|||N1  - Duplicate of 422/423.|||ER  - ",QV 18,RS57,Drug Dosage Calculations,,,,,,,,,,,,
423,TRUE,"The Nurse, The Math, The Meds: Drug Calculations Using Dimensional Analysis","Mulholland, Joyce M.",2nd,,2011,Elsevier Mosby,,Repetido de 422/423.,"TY  - BOOK|||T1  - The Nurse, The Math, The Meds: Drug Calculations Using Dimensional Analysis|||AU  - Mulholland, Joyce M.|||ED  - 2nd|||PY  - 2011|||PB  - Elsevier Mosby|||N1  - Duplicate of 422/423.|||ER  - ",QV 18,RS57,Drug Dosage Calculations,,,,,,,,,,,,
424,TRUE,Mosby's Guide to Physical Examination,"Seidel, Henry M.; Ball, Jane W.; Dains, Joyce E.; Flynn, John A.; Solomon, Barry S.; Stewart, Rosalyn W.",7th,,2011,Elsevier Mosby,,Repetido de 424.,"TY  - BOOK|||T1  - Mosby's Guide to Physical Examination|||AU  - Seidel, Henry M.|||AU  - Ball, Jane W.|||AU  - Dains, Joyce E.|||AU  - Flynn, John A.|||AU  - Solomon, Barry S.|||AU  - Stewart, Rosalyn W.|||ED  - 7th|||PY  - 2011|||PB  - Elsevier Mosby|||N1  - Duplicate entry? Same as 424.|||ER  - ",WB 205,RC76,Physical Examination,,,,,,,,,,,,
425,TRUE,Trauma Nursing,"McQuillan, Kathleen A.; Von Rueden, Kathryn T.; Hartsock, Roberta L.; Flynn, Mary Beth; Whalen, Eileen",3rd?,?,,Saunders?,Repetido de 425.,,"TY  - BOOK|||T1  - Trauma Nursing|||AU  - McQuillan, Kathleen A.|||AU  - Von Rueden, Kathryn T.|||AU  - Hartsock, Roberta L.|||AU  - Flynn, Mary Beth|||AU  - Whalen, Eileen|||ED  - 3rd?|||PY  - 2002?|||PB  - Saunders?|||N1  - Duplicate entry? Same as 425. 3rd Ed is ~2002. Verify details.|||ER  - ",WY 156.5,RT120.E4,Wounds and Injuries / nursing; Emergency Nursing,,,,,,,,,,,,
426,TRUE,Priorities in Critical Care Nursing,"Urden, Linda D.; Stacy, Kathleen M.; Lough, Mary E.",6th,,2012,Elsevier Mosby,,Repetido de 323 y 426.,"TY  - BOOK|||T1  - Priorities in Critical Care Nursing|||AU  - Urden, Linda D.|||AU  - Stacy, Kathleen M.|||AU  - Lough, Mary E.|||ED  - 6th|||PY  - 2012|||PB  - Elsevier Mosby|||N1  - Duplicate of 323 & 426.|||ER  - ",WY 154,RT120.I5,Critical Care Nursing,https://evolve.elsevier.com/cs/product/9780323074612?role=student,,,,,,,,,,,
427,TRUE,Dental Radiography: Principles and Techniques,"Iannucci, Joen M.; Howerton, Laura Jansen",4th,,2012,Elsevier Saunders,,Repetido de 427.,"TY  - BOOK|||T1  - Dental Radiography: Principles and Techniques|||AU  - Iannucci, Joen M.|||AU  - Howerton, Laura Jansen|||ED  - 4th|||PY  - 2012|||PB  - Elsevier Saunders|||N1  - Duplicate entry? Same as 427.|||ER  - ",WN 230,RK309,"Radiography, Dental",,,,,,,,,,,,
428,TRUE,Maternity Nursing,"Lowdermilk, Deitra Leonard; Perry, Shannon E.; Cashion, Kitty",8th,,2011,Mosby Elsevier,,Repetido de 428.,"TY  - BOOK|||T1  - Maternity Nursing|||AU  - Lowdermilk, Deitra Leonard|||AU  - Perry, Shannon E.|||AU  - Cashion, Kitty|||ED  - 8th|||PY  - 2011|||PB  - Mosby Elsevier|||N1  - Duplicate entry? Same as 428. Revised Reprint? Year based on label.|||ER  - ",WY 157,RG951,Obstetrical Nursing; Maternal Health Services,https://evolve.elsevier.com/cs/product/9780323079112?role=student,,,,,,,,,,,
429,TRUE,Medical-Surgical Nursing: Assessment and Management of Clinical Problems,"Lewis, Sharon L.; Heitkemper, Margaret M.; Dirksen, Shannon Ruff; O'Brien, Patricia G.; Bucher, Linda",8th,,2011,Elsevier Mosby,,Repetido de 429.,"TY  - BOOK|||T1  - Medical-Surgical Nursing: Assessment and Management of Clinical Problems|||AU  - Lewis, Sharon L.|||AU  - Heitkemper, Margaret M.|||AU  - Dirksen, Shannon Ruff|||AU  - O'Brien, Patricia G.|||AU  - Bucher, Linda|||ED  - 8th|||PY  - 2011|||PB  - Elsevier Mosby|||N1  - Duplicate entry? Same as 429.|||ER  - ",WY 150,RT41,Perioperative Nursing,https://evolve.elsevier.com/cs/product/9780323065805?role=student,,,,,,,,,,,
430,TRUE,Maternity & Women's Health Care,"Lowdermilk, Deitra Leonard; Perry, Shannon E.; Cashion, Kitty; Alden, Kathryn Rhodes",11th?,?,,Elsevier,Repetido de 430.,,"TY  - BOOK|||T1  - Maternity & Women's Health Care|||AU  - Lowdermilk, Deitra Leonard|||AU  - Perry, Shannon E.|||AU  - Cashion, Kitty|||AU  - Alden, Kathryn Rhodes|||ED  - 11th?|||PY  - 2016?|||PB  - Elsevier|||N1  - Duplicate entry? Same as 430. 11th Ed is ~2016. Verify details.|||ER  - ",WY 157,RG101,Obstetrical Nursing; Women's Health,https://evolve.elsevier.com/cs/product/9780323169196?role=student,,,,,,,,,,,
431,TRUE,Clinical Dermatology: A Color Guide to Diagnosis and Therapy,"Habif, Thomas P.",6th?,?,,Elsevier,Repetido de 431.,,"TY  - BOOK|||T1  - Clinical Dermatology: A Color Guide to Diagnosis and Therapy|||AU  - Habif, Thomas P.|||ED  - 6th?|||PY  - 2016?|||PB  - Elsevier|||N1  - Duplicate entry? Same as 431. 6th Ed is ~2016. Verify details.|||ER  - ",WR 140,RL71,Skin Diseases / diagnosis; Skin Diseases / therapy,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20110069378,,,,,,,,,,,
432,TRUE,Medical Terminology & Anatomy for ICD-10 Coding,"LaFleur Brooks, Melson; Publisher = Cengage Learning",,,2014?,Cengage Learning?,,Repetido de 432.,"TY  - BOOK|||T1  - Medical Terminology & Anatomy for ICD-10 Coding|||AU  - LaFleur Brooks, Melson|||PY  - 2014?|||PB  - Cengage Learning?|||N1  - Duplicate entry? Same as 432. Year based on label.|||ER  - ",W 15,R123,Terminology as Topic; International Classification of Diseases,,,,,,,,,,,,
437,TRUE,Pediatric Neuroradiology,"Barkovich, A. James; Koch, Bernadette L.; Moore, Kristen W.",2nd?,?,,Amirsys / Elsevier,Repetido de 437.,,"TY  - BOOK|||T1  - Pediatric Neuroradiology|||AU  - Barkovich, A. James|||AU  - Koch, Bernadette L.|||AU  - Moore, Kristen W.|||ED  - 2nd?|||PY  - 2018?|||PB  - Amirsys / Elsevier|||N1  - Duplicate entry? Same as 437. 2nd Ed is ~2018?. Verify details.|||ER  - ",WN 240,RJ488.5.D52,Neuroimaging; Pediatrics,,,,,,,,,,,,
439,TRUE,Valvular Heart Disease: A Companion to Braunwald's Heart Disease,"Otto, Catherine M.; Bonow, Robert O.",3rd?,?,,Saunders Elsevier,Repetido de 439.,,"TY  - BOOK|||T1  - Valvular Heart Disease: A Companion to Braunwald's Heart Disease|||AU  - Otto, Catherine M.|||AU  - Bonow, Robert O.|||ED  - 3rd?|||PY  - 2009?|||PB  - Saunders Elsevier|||N1  - Duplicate entry? Same as 439. 3rd Ed is ~2009. Verify details.|||ER  - ",WG 260,RC685.V2,Heart Valve Diseases,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090010770,,,,,,,,,,,
440,TRUE,Medical Law and Ethics for Imaging Professionals,"Scott, Robert L.; Chester, Sherry Edwards",3rd?,?,,Mosby?,Repetido de 440.,,"TY  - BOOK|||T1  - Medical Law and Ethics for Imaging Professionals|||AU  - Scott, Robert L.|||AU  - Chester, Sherry Edwards|||ED  - 3rd?|||PY  - 2012?|||PB  - Mosby?|||N1  - Duplicate entry? Same as 440. 3rd Ed is ~2012?. Verify details.|||ER  - ",W 32.5,KF2905.3,"Legislation, Medical; Radiology; Ethics, Medical",,,,,,,,,,,,
441,TRUE,Ethics and Legal Issues for Imaging Professionals,"Fosbinder, Denise; Parsons, Virginia",3rd?,?,,Mosby Elsevier?,Repetido de 441.,,"TY  - BOOK|||T1  - Ethics and Legal Issues for Imaging Professionals|||AU  - Fosbinder, Denise|||AU  - Parsons, Virginia|||ED  - 3rd?|||PY  - 2012?|||PB  - Mosby Elsevier?|||N1  - Duplicate entry? Same as 441. 3rd Ed is ~2012?. Verify details.|||ER  - ",W 50,R724,"Ethics, Medical; Radiology",,,,,,,,,,,,
442,TRUE,"Mosby's Dictionary of Medicine, Nursing & Health Professions","Harris, Peter; Nagy, Sue; Vardaxis, Nicholas",2006 Ed?,,2006?,Mosby Elsevier,,Repetido de 442.,"TY  - BOOK|||T1  - Mosby's Dictionary of Medicine, Nursing & Health Professions|||AU  - Harris, Peter|||AU  - Nagy, Sue|||AU  - Vardaxis, Nicholas|||PY  - 2006?|||PB  - Mosby Elsevier|||N1  - Duplicate entry? Same as 442. Year based on label. ANZ Edition?|||ER  - ",W 13,R121,"Dictionaries, Medical",,,,,,,,,,,,
443,TRUE,Plastic Surgery: General Principles,"Mathes, Stephen J.",2nd,1,2006,Saunders Elsevier,,Repetido de 443.,"TY  - BOOK|||T1  - Plastic Surgery: General Principles|||AU  - Mathes, Stephen J.|||ED  - 2nd|||VL  - 1|||PY  - 2006|||PB  - Saunders Elsevier|||N1  - Duplicate entry? Same as 443. Volume 1.|||ER  - ",WO 600,RD118,"Surgery, Plastic",,,,,,,,,,,,
444,TRUE,Plastic Surgery: Aesthetic,"Mathes, Stephen J.",2nd?,2?,?,Elsevier?,,Repetido de 444.,"TY  - BOOK|||T1  - Plastic Surgery: Aesthetic|||AU  - Mathes, Stephen J.|||ED  - 2nd?|||VL  - 2?|||PY  - 2006?|||PB  - Elsevier?|||N1  - Duplicate entry? Same as 444. Volume 2? 2nd Ed is ~2006. Verify details.|||ER  - ",WO 600,RD118,"Surgery, Plastic; Esthetics",,,,,,,,,,,,
445,TRUE,Atlas of Head and Neck Pathology,"Wenig, Bruce M.",3rd?,?,,Saunders,Repetido de 445.,,"TY  - BOOK|||T1  - Atlas of Head and Neck Pathology|||AU  - Wenig, Bruce M.|||ED  - 3rd?|||PY  - 2016?|||PB  - Saunders|||N1  - Duplicate entry? Same as 445. 3rd Ed is ~2016. Verify details.|||ER  - ",WE 707,RC280.H4,Head and Neck Neoplasms / pathology; Atlases,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20120066309,,,,,,,,,,,
